timestamp,pressure_psi,temperature_c,flow_rate_m3h,stress_factor,vibration_mm_s,wall_thickness_mm,anomaly_flag,anomaly_type,pipeline_segment,location_km
2025-10-01 00:00:00,1166.05,4.03,48178.18,0.1868,0.458,12.75,0,,Segment_5,75
2025-10-01 01:00:00,1211.07,7.26,49421.6,0.1232,0.416,12.67,0,,Segment_4,50
2025-10-01 02:00:00,1146.16,6.65,48678.46,0.1512,0.436,12.618,0,,Segment_5,75
2025-10-01 03:00:00,1262.18,9.41,50815.91,0.1095,0.473,12.756,0,,Segment_2,75
2025-10-01 04:00:00,1092.68,9.94,51500.89,0.1206,0.593,12.673,0,,Segment_5,100
2025-10-01 05:00:00,1155.84,14.24,51563.75,0.0355,0.388,12.696,0,,Segment_5,75
2025-10-01 06:00:00,1091.46,12.7,52718.67,0.087,0.533,12.664,0,,Segment_2,100
2025-10-01 07:00:00,1220.85,10.19,48240.78,0.0896,0.557,12.713,0,,Segment_5,100
2025-10-01 08:00:00,1120.16,9.14,50032.86,0.1147,0.301,12.704,0,,Segment_4,75
2025-10-01 09:00:00,1234.43,5.91,47440.1,0.1633,0.325,12.725,0,,Segment_3,50
2025-10-01 10:00:00,1142.92,9.49,46824.63,0.1208,0.355,12.673,0,,Segment_3,25
2025-10-01 11:00:00,1125.17,7.37,50786.73,0.1441,0.272,12.703,0,,Segment_4,75
2025-10-01 12:00:00,1212.08,3.76,51865.72,0.1838,0.326,12.721,0,,Segment_5,100
2025-10-01 13:00:00,1189.47,3.47,49215.26,0.1811,0.601,12.675,0,,Segment_4,25
2025-10-01 14:00:00,1158.53,-1.39,50669.81,0.2637,0.53,12.723,0,,Segment_1,50
2025-10-01 15:00:00,1195.48,1.0,48386.85,0.2212,0.713,12.672,0,,Segment_2,100
2025-10-01 16:00:00,1190.1,-2.23,49884.77,0.2624,0.521,12.695,0,,Segment_3,25
2025-10-01 17:00:00,1259.15,-0.93,49348.94,0.2625,0.682,12.805,0,,Segment_5,0
2025-10-01 18:00:00,1210.63,-3.38,54223.24,0.3046,0.504,12.762,0,,Segment_3,75
2025-10-01 19:00:00,1297.16,0.38,52262.09,0.2653,0.639,12.747,0,,Segment_3,75
2025-10-01 20:00:00,1133.24,2.18,49717.4,0.2163,0.406,12.707,0,,Segment_4,100
2025-10-01 21:00:00,1232.26,1.11,51456.43,0.2279,0.499,12.612,0,,Segment_2,100
2025-10-01 22:00:00,1168.6,3.76,53066.11,0.1974,0.457,12.6,0,,Segment_4,25
2025-10-01 23:00:00,1246.3,1.76,49869.55,0.2148,0.516,12.761,0,,Segment_2,50
2025-10-02 00:00:00,1175.74,5.5,51920.36,0.1622,0.578,12.704,0,,Segment_4,50
2025-10-02 01:00:00,1149.72,7.37,47765.74,0.1446,0.44,12.695,0,,Segment_4,75
2025-10-02 02:00:00,1225.23,5.94,50678.2,0.1484,0.363,12.712,0,,Segment_5,50
2025-10-02 03:00:00,1212.92,7.69,50229.67,0.1153,0.446,12.633,0,,Segment_2,25
2025-10-02 04:00:00,1205.39,6.53,46956.16,0.1471,0.295,12.601,0,,Segment_4,100
2025-10-02 05:00:00,1192.64,6.36,53756.73,0.1546,0.66,12.742,0,,Segment_5,75
2025-10-02 06:00:00,1207.22,9.83,50032.82,0.0802,0.546,12.729,0,,Segment_1,100
2025-10-02 07:00:00,1245.33,6.84,48993.67,0.1435,0.326,12.725,0,,Segment_5,50
2025-10-02 08:00:00,1177.83,7.74,50101.58,0.1168,0.458,12.7,0,,Segment_2,50
2025-10-02 09:00:00,1148.7,8.35,52702.02,0.1331,0.449,12.676,0,,Segment_4,100
2025-10-02 10:00:00,1230.61,5.39,46518.68,0.1753,0.43,12.681,0,,Segment_4,75
2025-10-02 11:00:00,1243.52,6.48,47732.83,0.1559,0.535,12.583,0,,Segment_5,50
2025-10-02 12:00:00,1218.93,3.78,47273.01,0.191,0.348,12.603,0,,Segment_1,100
2025-10-02 13:00:00,1166.78,3.94,48993.86,0.183,0.601,12.679,0,,Segment_5,75
2025-10-02 14:00:00,1234.57,3.22,50929.33,0.1937,0.511,12.746,0,,Segment_4,50
2025-10-02 15:00:00,1318.62,4.96,49570.42,0.1927,0.463,12.531,0,,Segment_2,100
2025-10-02 16:00:00,1138.7,2.35,50924.92,0.2157,0.534,12.637,0,,Segment_1,75
2025-10-02 17:00:00,1176.21,0.79,49662.06,0.2232,0.355,12.699,0,,Segment_2,100
2025-10-02 18:00:00,1183.36,0.64,47979.15,0.2331,0.534,12.721,0,,Segment_3,50
2025-10-02 19:00:00,1206.86,2.78,48948.24,0.1919,0.564,12.75,0,,Segment_5,100
2025-10-02 20:00:00,1234.59,-0.58,47485.0,0.2604,0.548,12.705,0,,Segment_5,0
2025-10-02 21:00:00,1227.21,-1.59,52047.46,0.2703,0.586,12.706,0,,Segment_2,75
2025-10-02 22:00:00,1318.06,2.08,51899.05,0.2446,0.535,12.765,0,,Segment_2,0
2025-10-02 23:00:00,1181.81,5.95,49630.92,0.144,0.578,12.708,0,,Segment_1,50
2025-10-03 00:00:00,1255.58,4.8,48578.58,0.18,0.345,12.627,0,,Segment_3,0
2025-10-03 01:00:00,1110.67,9.45,47447.36,0.1283,0.218,12.715,0,,Segment_5,100
2025-10-03 02:00:00,1140.05,7.75,49811.59,0.1298,0.447,12.711,0,,Segment_5,50
2025-10-03 03:00:00,1181.84,5.71,47825.69,0.1584,0.37,12.647,0,,Segment_3,100
2025-10-03 04:00:00,1159.29,5.83,54073.39,0.1756,0.454,12.701,0,,Segment_2,75
2025-10-03 05:00:00,1082.67,11.01,51118.99,0.1056,0.447,12.649,0,,Segment_5,25
2025-10-03 06:00:00,1179.82,4.67,49332.8,0.1656,0.51,12.621,0,,Segment_2,0
2025-10-03 07:00:00,1225.39,16.55,47680.67,0.0456,0.487,12.716,0,,Segment_4,50
2025-10-03 08:00:00,1291.56,10.04,52875.2,0.1222,0.678,12.6,0,,Segment_2,25
2025-10-03 09:00:00,1263.47,8.99,47780.3,0.1247,0.487,12.718,0,,Segment_1,25
2025-10-03 10:00:00,1211.78,7.89,48069.69,0.1222,0.513,12.668,0,,Segment_1,75
2025-10-03 11:00:00,1205.9,4.77,51855.45,0.1666,0.522,12.795,0,,Segment_5,50
2025-10-03 12:00:00,1238.55,6.18,51375.24,0.1534,0.482,12.768,0,,Segment_4,100
2025-10-03 13:00:00,1123.44,1.27,50797.3,0.2363,0.566,12.734,0,,Segment_1,0
2025-10-03 14:00:00,1219.6,2.42,50987.55,0.2011,0.616,12.679,0,,Segment_1,0
2025-10-03 15:00:00,1229.5,1.76,53450.63,0.2292,0.468,12.683,0,,Segment_4,75
2025-10-03 16:00:00,1323.64,-1.19,47308.76,0.3003,0.276,12.654,0,,Segment_4,0
2025-10-03 17:00:00,1170.79,0.13,49026.35,0.2386,0.588,12.668,0,,Segment_3,0
2025-10-03 18:00:00,1255.03,1.79,51398.05,0.2249,0.487,12.598,0,,Segment_3,0
2025-10-03 19:00:00,1207.58,1.61,52485.94,0.2183,0.614,12.748,0,,Segment_1,25
2025-10-03 20:00:00,1116.57,1.94,47850.86,0.2366,0.557,12.723,0,,Segment_1,50
2025-10-03 21:00:00,1209.06,-0.09,51688.42,0.2395,0.424,12.685,0,,Segment_4,100
2025-10-03 22:00:00,1156.62,1.03,47922.23,0.2364,0.419,12.664,0,,Segment_1,50
2025-10-03 23:00:00,1206.63,7.32,48388.4,0.1271,0.527,12.761,0,,Segment_4,75
2025-10-04 00:00:00,1166.56,5.59,50637.58,0.1561,0.403,12.624,0,,Segment_2,50
2025-10-04 01:00:00,1207.69,6.4,52342.76,0.1456,0.438,12.653,0,,Segment_2,50
2025-10-04 02:00:00,1203.09,8.07,48504.97,0.1139,0.681,12.631,0,,Segment_1,100
2025-10-04 03:00:00,1154.43,10.03,50870.3,0.0949,0.54,12.607,0,,Segment_5,100
2025-10-04 04:00:00,1189.53,7.95,48868.26,0.116,0.458,12.606,0,,Segment_4,25
2025-10-04 05:00:00,1202.86,7.87,50892.88,0.1133,0.486,12.721,0,,Segment_3,100
2025-10-04 06:00:00,1138.94,11.75,50834.16,0.0742,0.547,12.74,0,,Segment_1,100
2025-10-04 07:00:00,1232.27,9.06,51495.75,0.1089,0.499,12.72,0,,Segment_1,100
2025-10-04 08:00:00,1183.18,7.35,51890.19,0.1317,0.401,12.726,0,,Segment_1,0
2025-10-04 09:00:00,1252.5,5.99,50638.42,0.1564,0.531,12.728,0,,Segment_5,25
2025-10-04 10:00:00,1267.26,6.92,50627.51,0.1473,0.464,12.66,0,,Segment_5,0
2025-10-04 11:00:00,1298.82,3.75,48787.14,0.209,0.399,12.769,0,,Segment_5,0
2025-10-04 12:00:00,1157.04,6.31,49698.7,0.1464,0.531,12.662,0,,Segment_3,0
2025-10-04 13:00:00,1157.83,6.6,48372.29,0.1498,0.482,12.736,0,,Segment_3,75
2025-10-04 14:00:00,1184.88,5.51,47522.33,0.1623,0.543,12.707,0,,Segment_5,25
2025-10-04 15:00:00,1222.99,-1.44,48980.76,0.2604,0.576,12.717,0,,Segment_2,100
2025-10-04 16:00:00,1220.12,3.19,48896.94,0.1904,0.45,12.781,0,,Segment_3,100
2025-10-04 17:00:00,1146.7,2.26,49398.99,0.2125,0.649,12.77,0,,Segment_2,50
2025-10-04 18:00:00,1210.32,3.46,50220.53,0.1778,0.557,12.65,0,,Segment_2,0
2025-10-04 19:00:00,1225.43,0.03,48293.05,0.2433,0.534,12.732,0,,Segment_3,100
2025-10-04 20:00:00,1255.52,1.02,49385.23,0.2318,0.422,12.67,0,,Segment_2,0
2025-10-04 21:00:00,1185.95,2.49,49602.95,0.1947,0.263,12.703,0,,Segment_5,100
2025-10-04 22:00:00,1119.48,1.01,53693.55,0.2589,0.541,12.7,0,,Segment_3,75
