timestamp,solar_generation_kw,demand_kw,battery_charge_kw,battery_discharge_kw,battery_soc_percent,battery_temp_c,grid_export_kw,grid_import_kw,system_efficiency,anomaly_flag
2025-10-01 00:00:00,0.0,29.26,0.0,29.26,35.37,23.36,0,0.0,0.9516,0
2025-10-01 00:15:00,0.0,33.11,0.0,33.11,18.82,22.63,0,0.0,0.9524,0
2025-10-01 00:30:00,0.0,38.58,0.0,17.64,10.0,22.7,0,20.94,0.9523,0
2025-10-01 00:45:00,0.0,25.0,0.0,0.0,10.0,18.78,0,25.0,0.9562,0
2025-10-01 01:00:00,0.0,36.57,0.0,0.0,10.0,21.35,0,36.57,0.9537,0
2025-10-01 01:15:00,0.0,28.04,0.0,0.0,10.0,24.14,0,28.04,0.9509,0
2025-10-01 01:30:00,0.0,28.89,0.0,0.0,10.0,22.8,0,28.89,0.9522,0
2025-10-01 01:45:00,0.0,30.51,0.0,0.0,10.0,22.9,0,30.51,0.9521,0
2025-10-01 02:00:00,0.0,28.1,0.0,0.0,10.0,24.66,0,28.1,0.9503,0
2025-10-01 02:15:00,0.0,25.42,0.0,0.0,10.0,24.32,0,25.42,0.9507,0
2025-10-01 02:30:00,0.0,35.23,0.0,0.0,10.0,25.92,0,35.23,0.9491,0
2025-10-01 02:45:00,0.0,25.61,0.0,0.0,10.0,25.95,0,25.61,0.9491,0
2025-10-01 03:00:00,0.0,30.12,0.0,0.0,10.0,28.86,0,30.12,0.9461,0
2025-10-01 03:15:00,0.0,22.99,0.0,0.0,10.0,27.49,0,22.99,0.9475,0
2025-10-01 03:30:00,0.0,32.26,0.0,0.0,10.0,27.98,0,32.26,0.947,0
2025-10-01 03:45:00,0.0,30.54,0.0,0.0,10.0,27.62,0,30.54,0.9474,1
2025-10-01 04:00:00,0.0,23.54,0.0,0.0,10.0,29.92,0,23.54,0.9451,0
2025-10-01 04:15:00,0.0,30.97,0.0,0.0,10.0,29.88,0,30.97,0.9451,0
2025-10-01 04:30:00,0.0,23.86,0.0,0.0,10.0,27.9,0,23.86,0.9471,0
2025-10-01 04:45:00,0.0,17.81,0.0,0.0,10.0,29.16,0,17.81,0.9458,0
2025-10-01 05:00:00,0.0,26.27,0.0,0.0,10.0,29.65,0,26.27,0.9454,0
2025-10-01 05:15:00,0.0,20.17,0.0,0.0,10.0,27.43,0,20.17,0.9476,0
2025-10-01 05:30:00,0.0,33.07,0.0,0.0,10.0,29.49,0,33.07,0.9455,0
2025-10-01 05:45:00,0.0,26.28,0.0,0.0,10.0,29.02,0,26.28,0.946,0
2025-10-01 06:00:00,0.0,78.12,0.0,0.0,10.0,30.46,0,78.12,0.9445,0
2025-10-01 06:15:00,0.0,80.02,0.0,0.0,10.0,28.25,0,80.02,0.9468,0
2025-10-01 06:30:00,0.0,77.12,0.0,0.0,10.0,30.37,0,77.12,0.9446,0
2025-10-01 06:45:00,0.0,80.06,0.0,0.0,10.0,30.95,0,80.06,0.944,0
2025-10-01 07:00:00,7.17,75.62,0.0,0.0,10.0,29.06,0,68.45,0.9459,0
2025-10-01 07:15:00,6.72,78.78,0.0,0.0,10.0,29.9,0,72.06,0.9451,0
2025-10-01 07:30:00,6.78,86.62,0.0,0.0,10.0,27.55,0,79.84,0.9475,0
2025-10-01 07:45:00,7.0,80.48,0.0,0.0,10.0,29.45,0,73.48,0.9455,0
2025-10-01 08:00:00,16.71,86.45,0.0,0.0,10.0,28.52,0,69.73,0.9465,0
2025-10-01 08:15:00,13.34,81.21,0.0,0.0,10.0,29.69,0,67.86,0.9453,0
2025-10-01 08:30:00,16.99,75.69,0.0,0.0,10.0,28.55,0,58.71,0.9464,0
2025-10-01 08:45:00,14.63,84.86,0.0,0.0,10.0,28.62,0,70.23,0.9464,0
2025-10-01 09:00:00,18.76,62.28,0.0,0.0,10.0,26.73,0,43.52,0.9483,0
2025-10-01 09:15:00,19.32,62.57,0.0,0.0,10.0,27.15,0,43.25,0.9479,0
2025-10-01 09:30:00,19.73,69.87,0.0,0.0,10.0,28.09,0,50.14,0.9469,0
2025-10-01 09:45:00,17.79,55.0,0.0,0.0,10.0,28.41,0,37.21,0.9466,0
2025-10-01 10:00:00,29.22,52.49,0.0,0.0,10.0,24.26,0,23.27,0.9507,0
2025-10-01 10:15:00,27.24,72.64,0.0,0.0,10.0,24.77,0,72.64,0.9502,1
2025-10-01 10:30:00,23.73,56.52,0.0,0.0,10.0,23.86,0,32.8,0.9511,0
2025-10-01 10:45:00,26.48,61.49,0.0,0.0,10.0,24.62,0,35.01,0.9504,0
2025-10-01 11:00:00,31.35,54.63,0.0,0.0,10.0,22.05,0,23.28,0.953,0
2025-10-01 11:15:00,26.04,60.96,0.0,0.0,10.0,21.7,0,34.92,0.9533,0
2025-10-01 11:30:00,31.39,70.21,0.0,0.0,10.0,32.84,0,38.81,0.9528,1
2025-10-01 11:45:00,31.72,63.01,0.0,0.0,10.0,22.43,0,31.29,0.9526,0
2025-10-01 12:00:00,34.69,60.26,0.0,0.0,10.0,19.87,0,25.57,0.9551,0
2025-10-01 12:15:00,27.62,58.34,0.0,0.0,10.0,20.06,0,30.72,0.9549,0
2025-10-01 12:30:00,29.25,58.4,0.0,0.0,10.0,18.56,0,29.15,0.9564,0
2025-10-01 12:45:00,33.58,68.45,0.0,0.0,10.0,20.32,0,34.87,0.9547,0
2025-10-01 13:00:00,33.94,60.31,0.0,0.0,10.0,16.56,0,26.36,0.9584,0
2025-10-01 13:15:00,34.17,58.21,0.0,0.0,10.0,17.88,0,24.05,0.9571,0
2025-10-01 13:30:00,28.04,63.6,0.0,0.0,10.0,16.03,0,35.56,0.959,0
2025-10-01 13:45:00,32.03,64.19,0.0,0.0,10.0,18.34,0,32.16,0.9567,0
2025-10-01 14:00:00,29.0,60.52,0.0,0.0,10.0,13.52,0,31.52,0.9615,0
2025-10-01 14:15:00,30.76,53.08,0.0,0.0,10.0,14.96,0,22.32,0.96,0
2025-10-01 14:30:00,35.76,54.92,0.0,0.0,10.0,15.84,0,19.16,0.9592,0
2025-10-01 14:45:00,36.26,65.04,0.0,0.0,10.0,15.95,0,28.78,0.9591,0
2025-10-01 15:00:00,28.2,49.44,0.0,0.0,10.0,13.51,0,21.24,0.9615,0
2025-10-01 15:15:00,26.18,67.9,0.0,0.0,10.0,11.54,0,41.71,0.9635,0
2025-10-01 15:30:00,30.61,63.43,0.0,0.0,10.0,13.16,0,32.83,0.9618,0
2025-10-01 15:45:00,26.94,55.12,0.0,0.0,10.0,13.25,0,28.18,0.9617,0
2025-10-01 16:00:00,30.05,65.2,0.0,0.0,10.0,11.42,0,35.15,0.9636,0
2025-10-01 16:15:00,25.15,59.46,0.0,0.0,10.0,10.91,0,34.31,0.9641,0
2025-10-01 16:30:00,28.28,55.27,0.0,0.0,10.0,9.17,0,27.0,0.9658,0
2025-10-01 16:45:00,25.18,56.24,0.0,0.0,10.0,12.46,0,31.06,0.9625,0
2025-10-01 17:00:00,19.83,94.32,0.0,0.0,10.0,11.23,0,74.49,0.9638,0
2025-10-01 17:15:00,20.73,90.11,0.0,0.0,10.0,10.09,0,69.38,0.9649,0
2025-10-01 17:30:00,19.0,87.72,0.0,0.0,10.0,9.71,0,68.71,0.9653,0
2025-10-01 17:45:00,21.64,96.87,0.0,0.0,10.0,11.1,0,75.23,0.9639,0
2025-10-01 18:00:00,14.81,82.23,0.0,0.0,10.0,10.3,0,67.43,0.9647,0
2025-10-01 18:15:00,13.91,97.03,0.0,0.0,10.0,7.95,0,83.12,0.9671,0
2025-10-01 18:30:00,17.27,92.92,0.0,0.0,10.0,9.67,0,75.65,0.9653,0
2025-10-01 18:45:00,12.35,88.8,0.0,0.0,10.0,10.94,0,76.45,0.9641,0
2025-10-01 19:00:00,7.63,84.7,0.0,0.0,10.0,12.16,0,77.07,0.9628,0
